background;no_education;primary;secondary;higher;total;number
WOMEN;NA;NA;NA;NA;NA;NA
Age;NA;NA;NA;NA;NA;NA
15-19;8,4;61,6;30,0;0,1;100;2003
20-24;10,9;57,3;29,9;1,9;100;1830
25-29;11,7;57,1;27,0;4,2;100;1286
30-34;13,1;60,6;21,2;5,0;100;1081
35-39;14,1;62,9;17,8;5,2;100;758
40-44;20,6;53,5;19,1;6,8;100;568
45-49;37,3;54,3;7,8;0,6;100;494
Residence;NA;NA;NA;NA;NA;NA
Urban;5,6;48,1;40,7;5,6;100;3604
Rural;19,6;67,6;12,2;0,6;100;4417
Province;NA;NA;NA;NA;NA;NA
Central;7,9;61,4;26,8;3,8;100;653
Copperbelt;5,8;50,8;40,0;3,4;100;1588
Eastern;32,7;58,4;8,9;0,0;100;1075
Luapula;15,6;66,3;17,4;0,7;100;726
Lusaka;7,8;48,1;36,8;7,3;100;1403
Northern;11,8;71,9;15,5;0,8;100;872
North-Western;18,5;60,7;20,1;0,7;100;288
Southern;10,0;68,5;19,2;2,3;100;816
Western;18,6;61,3;18,1;2,0;100;600
Total;13,3;58,9;25,0;2,8;100;8021
MEN;NA;NA;NA;NA;NA;NA
Age;NA;NA;NA;NA;NA;NA
15-19;6,9;62,7;30,5;0,0;100;460
20-24;6,8;50,4;40,9;2,0;100;404
25-29;6,2;40,1;46,6;7,1;100;255
30-34;8,5;42,7;42,0;6,8;100;225
35-39;1,4;44,1;42,5;12,0;100;184
40-44;6,5;42,4;36,3;14,9;100;121
45-49;9,7;51,7;32,4;6,1;100;83
50-54;7,6;60,8;20,0;11,6;100;65
55-59;18,2;62,7;11,2;7,9;100;52
Residence;NA;NA;NA;NA;NA;NA
Urban;2,7;34,9;53,2;9,2;100;852
Rural;10,4;64,2;23,4;2,0;100;997
Province;NA;NA;NA;NA;NA;NA
Central;7,2;43,5;44,7;4,6;100;157
Copperbelt;2,8;37,6;53,7;5,9;100;396
Eastern;19,2;58,7;21,3;0,8;100;254
Luapula;5,1;64,7;26,6;3,6;100;151
Lusaka;5,2;38,1;43,6;13,0;100;316
Northern;2,1;64,6;31,2;2,1;100;221
North-Western;3,1;63,6;27,5;58,0;100;48
Southern;5,6;60,8;32,4;1,2;100;173
Western;11,9;56,5;24,7;7,0;100;132
Total;6,9;50,7;37,1;53,0;100;NA
